Timestamp,Total Slots,Occupied Slots
2025-05-24 12:21:41,69,57
2025-05-24 12:21:43,69,55
2025-05-24 12:21:45,69,55
2025-05-24 12:21:47,69,54
2025-05-24 12:21:49,69,54
2025-05-24 12:21:51,69,54
2025-05-24 12:21:53,69,54
2025-05-24 12:21:55,69,57
2025-05-24 12:21:57,69,56
2025-05-24 12:21:59,69,55
2025-05-24 12:22:01,69,55
2025-05-24 12:22:03,69,54
2025-05-24 12:22:05,69,54
2025-05-24 12:22:07,69,54
2025-05-24 12:22:09,69,54
2025-05-24 12:22:11,69,56
2025-05-24 12:22:13,69,55
2025-05-24 12:22:15,69,55
2025-05-24 12:22:17,69,54
2025-05-24 12:22:19,69,54
2025-05-24 12:22:21,69,54
2025-05-24 12:22:23,69,54
